epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,197.452,1.04046,2.61738,2.22341,0.90693,1,0.995,0.597,0.85471,3.08336,1.66703,0.0001962,0.0001962,0.0001962
92,199.566,0.48044,1.58519,1.02395,0.8966,1,0.995,0.6965,0.78917,2.75993,1.58543,0.000180362,0.000180362,0.000180362
93,201.385,0.4495,1.36612,1.10483,0.8966,1,0.995,0.6965,0.78917,2.75993,1.58543,0.000164128,0.000164128,0.000164128
94,203.513,0.31565,1.45992,1.04961,0.8966,1,0.995,0.6965,0.78917,2.75993,1.58543,0.000147498,0.000147498,0.000147498
95,205.265,0.26523,1.46344,0.95694,0.8966,1,0.995,0.6965,0.78917,2.75993,1.58543,0.000130472,0.000130472,0.000130472
96,207.495,0.37728,1.46349,1.28561,0.90221,1,0.995,0.6965,0.70352,2.08875,1.53207,0.00011305,0.00011305,0.00011305
97,209.152,0.60355,1.91786,1.61962,0.90221,1,0.995,0.6965,0.70352,2.08875,1.53207,9.5232e-05,9.5232e-05,9.5232e-05
98,211.057,0.5027,1.46286,1.39914,0.90221,1,0.995,0.6965,0.70352,2.08875,1.53207,7.7018e-05,7.7018e-05,7.7018e-05
99,212.635,0.52198,1.55429,1.61944,0.90221,1,0.995,0.6965,0.70352,2.08875,1.53207,5.8408e-05,5.8408e-05,5.8408e-05
100,214.548,0.48706,1.25083,1.18177,0.9131,1,0.995,0.796,0.60261,1.77467,1.37614,3.9402e-05,3.9402e-05,3.9402e-05
